ID,text,stance,aspect_span,opinion_span,aspect_catetegory
1367956947404611587,anonymised text,positive,40:59,0:92,0
1373534339506581508,anonymised text,negative,0:40,0:40,3
1373467890427392001,anonymised text,positive,84:103,0:145,16
1368952949691404293,anonymised text,positive,118:128,6:186,16
1372604541640794118,anonymised text,positive,59:74,24:76,19
1377169890721767426,anonymised text,positive,0:27,0:54,9
1377611990181482496,anonymised text,positive,6:280,6:280,12
1369299217815113733,anonymised text,negative,107:211,107:213,21
1368741472380588033,anonymised text,negative,25:37,0:45,23
1370821625030053888,anonymised text,negative,99:127,53:268,15
1367597684576694282,anonymised text,positive,83:206,83:208,4
1367849840164605955,anonymised text,positive,77:103,47:208,0
1375936452459175937,anonymised text,positive,3:41,3:41,8
1368162636089671680,anonymised text,positive,0:50,0:164,1
1373400157048467466,anonymised text,negative,62:177,0:177,3
1372311731364528131,anonymised text,positive,0:51,0:51,17
1373707325136048138,anonymised text,negative,6:253,6:253,3
1377056082737033217,anonymised text,positive,0:23,0:88,9
1368027091942445056,anonymised text,positive,42:120,38:176,3
1373619256257036290,anonymised text,positive,133:158,0:260,0
1367724219627356160,anonymised text,positive,6:123,6:223,0
1372680524435709952,anonymised text,positive,0:70,22:70,3
1372676154579124228,anonymised text,positive,47:117,0:117,3
1378100374951854083,anonymised text,neutral,53:148,0:148,11
1372688496431874050,anonymised text,negative,36:88,36:88,3
1367554560831684608,anonymised text,positive,65:84,0:145,0
1369040423776366595,anonymised text,negative,42:228,13:228,23
1367956085886304258,anonymised text,positive,27:96,0:96,4
1368356111703699456,anonymised text,negative,6:162,0:0,4
1373734512358793222,anonymised text,negative,28:80,0:80,3
1373249822090784770,anonymised text,positive,5:56,0:184,1
1371852176751009801,anonymised text,neutral,82:101,0:101,0
1366798469076299780,anonymised text,negative,0:68,0:47,4
1373333055969038339,anonymised text,positive,6:67,6:69,1
1368163918263246848,anonymised text,positive,0:132,0:218,3
1377346516008857606,anonymised text,positive,65:108,0:185,1
1371874864840122368,anonymised text,positive,11:22,0:61,16
1373073723977302021,anonymised text,neutral,158:177,59:194,0
1368210485728972809,anonymised text,negative,0:179,0:179,3
1366550456084946945,anonymised text,positive,6:97,6:97,4
1373722632256942081,anonymised text,positive,23:44,0:168,0
1371452149394210816,anonymised text,negative,49:121,49:262,19
1366719778249969670,anonymised text,positive,24:43,8:55,0
1372791305139494912,anonymised text,positive,26:40,0:238,23
1372196004854915074,anonymised text,positive,100:141,96:223,3
1373717012308971524,anonymised text,negative,0:142,0:142,3
1368204231124123655,anonymised text,positive,0:37,0:221,1
1372307514084061186,anonymised text,positive,0:81,0:83,21
1376363487346188298,anonymised text,negative,37:80,34:200,8
1371899437849571330,anonymised text,positive,29:75,29:75,3
1368139250865213444,anonymised text,neutral,42:95,0:280,4
1372530214333472776,anonymised text,negative,123:216,0:275,19
1365906634623623169,anonymised text,positive,21:40,0:85,0
1373310089642323975,anonymised text,positive,0:33,0:56,1
1368350094559342592,anonymised text,negative,62:124,0:222,11
1377471475133808644,anonymised text,negative,77:120,32:254,16
1367241758506057729,anonymised text,negative,0:224,0:224,4
1368123128895922177,anonymised text,positive,0:45,0:176,1
1373702664165462032,anonymised text,negative,0:162,0:162,3
1372649853822627846,anonymised text,positive,22:66,22:66,3
1369289827447881736,anonymised text,neutral,0:16,0:236,23
1377358768493715457,anonymised text,positive,0:112,0:145,11
1368371490341593090,anonymised text,positive,64:83,0:165,0
1369558755784982528,anonymised text,positive,29:109,0:263,21
1372711629238890496,anonymised text,positive,0:68,0:70,3
1377742588984320012,anonymised text,positive,0:88,0:88,20
1372990305260072962,anonymised text,positive,18:43,0:95,0
1372997010031321092,anonymised text,positive,63:96,0:96,0
1376576376812101648,anonymised text,positive,48:60,0:92,8
1368046811714379776,anonymised text,positive,17:36,47:146,0
1378022582436425735,anonymised text,negative,0:156,0:156,11
1375911500083298311,anonymised text,neutral,161:190,101:204,16
1377739576379326471,anonymised text,positive,203:273,203:275,1
1370759600065060864,anonymised text,negative,237:272,166:274,22
1378287682934087682,anonymised text,positive,28:89,0:155,16
1372818595827363846,anonymised text,positive,114:167,0:169,3
1367769385205633032,anonymised text,negative,0:221,0:221,0
1373213507571826689,anonymised text,positive,27:273,27:273,4
1372119522069594116,anonymised text,negative,6:110,6:225,20
1377348721910849539,anonymised text,negative,0:134,0:136,12
1373652648679858176,anonymised text,positive,54:184,58:186,3
1373257332046581761,anonymised text,negative,53:94,6:221,3
1373714695425777667,anonymised text,negative,53:263,53:263,19
1376098626473185287,anonymised text,neutral,24:35,0:64,8
1369608171677904898,anonymised text,negative,6:135,6:284,23
1371892926725324800,anonymised text,positive,29:137,12:168,16
1367882527453614083,anonymised text,positive,17:191,0:193,4
1373669570586759173,anonymised text,negative,69:272,69:272,3
1368356696024784898,anonymised text,positive,10:227,0:8,4
1373363493341171712,anonymised text,negative,12:52,0:149,3
1368300831909494784,anonymised text,neutral,12:122,12:174,4
1371550411010760704,anonymised text,negative,74:81,0:125,16
1368971672204832769,anonymised text,negative,0:107,0:107,23
1376217045474377728,anonymised text,neutral,13:45,6:45,20
1372787886190252036,anonymised text,positive,47:94,0:94,3
1372307771689996293,anonymised text,negative,38:65,0:97,16
1366446137876615171,anonymised text,positive,38:143,38:145,12
1370819298957086726,anonymised text,negative,159:173,0:198,16
1368230342813908997,anonymised text,negative,12:123,12:123,3
1367775666591182848,anonymised text,positive,0:73,0:75,0
1373187168714244097,anonymised text,neutral,4:32,0:260,3
1366941346741714944,anonymised text,negative,0:50,0:50,3
1367748659434110980,anonymised text,negative,10:101,10:101,4
1367852235208744965,anonymised text,positive,57:76,0:250,0
1367958300667547652,anonymised text,positive,83:185,0:185,4
1367967605819080720,anonymised text,positive,20:110,20:144,4
1377795903411617792,anonymised text,positive,172:206,0:208,0
1373568433447657475,anonymised text,negative,111:203,93:205,4
1367726003301326848,anonymised text,positive,4:32,0:86,0
1367524948047097857,anonymised text,positive,204:221,123:244,0
1372635803956953093,anonymised text,positive,41:73,0:111,0
1372278286517211147,anonymised text,negative,0:78,0:80,20
1367504250138488832,anonymised text,positive,0:33,0:181,1
1368733840982806540,anonymised text,negative,65:232,18:270,14
1373482213136764932,anonymised text,neutral,79:123,0:177,3
1377457756089815042,anonymised text,positive,14:85,14:85,9
1368177621817757702,anonymised text,positive,90:97,0:182,16
1369038011904778240,anonymised text,positive,150:310,24:310,22
1369608411755712514,anonymised text,negative,31:62,6:62,16
1373289542778781704,anonymised text,positive,23:95,6:109,1
1377640383086272515,anonymised text,positive,0:32,0:55,9
1368049769067675650,anonymised text,positive,125:210,125:210,11
1367919137163509764,anonymised text,positive,29:81,0:104,0
1369618775176282121,anonymised text,negative,0:102,0:284,16
1367777125286240256,anonymised text,positive,31:150,31:152,0
1372794170536988673,anonymised text,positive,33:77,0:79,3
1373558120656424962,anonymised text,negative,23:72,0:236,3
1368953691961651203,anonymised text,positive,168:233,6:235,16
1368021799192178690,anonymised text,positive,149:255,138:257,4
1373609265160724483,anonymised text,positive,92:125,0:218,0
